,delay,trial,model,direction,gap
233,0,58,GC,Independence,6.458941406357388e-05
234,0,58,TE,X -> Y,0.2823870354984125
235,0,58,LZP,Independence,25.0
236,0,59,DPE,X -> Y,0.10726555399385294
237,0,59,GC,Independence,0.013109276406392176
238,0,59,TE,X -> Y,0.3096133101500906
239,0,59,LZP,Independence,26.0
240,0,60,DPE,X -> Y,0.11903332731241516
241,0,60,GC,Independence,0.0009316896460249678
242,0,60,TE,X -> Y,0.2902948441858521
243,0,60,LZP,X -> Y,30.0
244,0,61,DPE,X -> Y,0.11430153117180453
245,0,61,GC,Independence,3.0126679206921916e-05
246,0,61,TE,X -> Y,0.3009922482254924
247,0,61,LZP,X -> Y,28.0
248,0,62,DPE,X -> Y,0.11051955440881255
249,0,62,GC,Independence,0.008270962045938015
250,0,62,TE,X -> Y,0.30703262087072786
251,0,62,LZP,Independence,26.0
252,0,63,DPE,X -> Y,0.11369637800064886
253,0,63,GC,Independence,0.023456949780282222
254,0,63,TE,X -> Y,0.30833094341658857
255,0,63,LZP,X -> Y,28.0
256,0,64,DPE,X -> Y,0.1166567508816764
257,0,64,GC,Independence,0.007388020270666373
258,0,64,TE,X -> Y,0.30597412729919243
259,0,64,LZP,Independence,24.0
260,0,65,DPE,X -> Y,0.1307869389260304
261,0,65,GC,Independence,0.0003652103061624363
262,0,65,TE,X -> Y,0.3051310978930758
263,0,65,LZP,Independence,26.0
264,0,66,DPE,X -> Y,0.09124737461520867
265,0,66,GC,Independence,0.0001126546785590581
266,0,66,TE,X -> Y,0.3117974171868391
267,0,66,LZP,Independence,22.0
268,0,67,DPE,X -> Y,0.08314836571104556
269,0,67,GC,Independence,0.03190940242777369
270,0,67,TE,X -> Y,0.3162799408515701
271,0,67,LZP,Independence,21.0
272,0,68,DPE,X -> Y,0.1268167463626476
273,0,68,GC,Independence,1.2850652409336013e-05
274,0,68,TE,X -> Y,0.2866542210999521
275,0,68,LZP,Independence,26.0
276,0,69,DPE,X -> Y,0.11785122973652022
277,0,69,GC,Independence,0.03687845665289425
278,0,69,TE,X -> Y,0.29179129209243193
279,0,69,LZP,Independence,25.0
280,0,70,DPE,X -> Y,0.13042157719428088
281,0,70,GC,Independence,0.0004562859511558549
282,0,70,TE,X -> Y,0.31403886075893367
283,0,70,LZP,Independence,19.0
284,0,71,DPE,X -> Y,0.09604232982756236
285,0,71,GC,Independence,0.002009629051712942
286,0,71,TE,X -> Y,0.30481002948104596
287,0,71,LZP,Independence,25.0
288,0,72,DPE,X -> Y,0.10575177299205021
289,0,72,GC,Independence,0.0028479434391293474
290,0,72,TE,X -> Y,0.29036319865132515
291,0,72,LZP,Independence,24.0
292,0,73,DPE,X -> Y,0.11052571121897353
293,0,73,GC,Independence,6.468186322014393e-07
294,0,73,TE,X -> Y,0.32508000238020673
295,0,73,LZP,X -> Y,25.0
296,0,74,DPE,X -> Y,0.13380213335289487
297,0,74,GC,Independence,3.2825168183452935e-05
298,0,74,TE,X -> Y,0.2993412995064417
299,0,74,LZP,Independence,25.0
300,0,75,DPE,X -> Y,0.11735041652504793
301,0,75,GC,Independence,0.012689115937392312
302,0,75,TE,X -> Y,0.2832904510579792
303,0,75,LZP,Independence,29.0
304,0,76,DPE,X -> Y,0.1230049372885142
305,0,76,GC,Independence,9.080189007327095e-05
306,0,76,TE,X -> Y,0.2915076440636608
307,0,76,LZP,Independence,28.0
308,0,77,DPE,X -> Y,0.10261070564050566
309,0,77,GC,Independence,0.0005799845334214874
310,0,77,TE,X -> Y,0.2989181148074403
311,0,77,LZP,Independence,21.0
312,0,78,DPE,X -> Y,0.09659587996043936
313,0,78,GC,Independence,0.0004999923155123505
314,0,78,TE,X -> Y,0.33691885753257406
315,0,78,LZP,X -> Y,25.0
316,0,79,DPE,X -> Y,0.1167105708549685
317,0,79,GC,Independence,7.646106147244713e-07
318,0,79,TE,X -> Y,0.3230680474922283
319,0,79,LZP,Independence,24.0
320,0,80,DPE,X -> Y,0.12467304018664187
321,0,80,GC,Independence,0.03233920757493672
322,0,80,TE,X -> Y,0.27988446188283317
323,0,80,LZP,Independence,27.0
324,0,81,DPE,X -> Y,0.10474188788420458
325,0,81,GC,Independence,5.038004596090978e-08
326,0,81,TE,X -> Y,0.31304362595147833
327,0,81,LZP,Independence,21.0
328,0,82,DPE,X -> Y,0.13293341187875138
329,0,82,GC,Independence,0.00017730688277530803
330,0,82,TE,X -> Y,0.29498873046660634
331,0,82,LZP,Independence,21.0
332,0,83,DPE,X -> Y,0.11061192651568003
333,0,83,GC,X -> Y,0.08638324906616622
334,0,83,TE,X -> Y,0.2848123740867264
335,0,83,LZP,X -> Y,31.0
336,0,84,DPE,X -> Y,0.13377056203279938
337,0,84,GC,Independence,0.01700511795952767
338,0,84,TE,X -> Y,0.31481434300441774
339,0,84,LZP,Independence,21.0
340,0,85,DPE,X -> Y,0.12952197052072734
341,0,85,GC,Independence,3.464657692362779e-06
342,0,85,TE,X -> Y,0.2825375694162809
343,0,85,LZP,Independence,20.0
344,0,86,DPE,X -> Y,0.09787805628606139
345,0,86,GC,Independence,7.677184082739223e-07
346,0,86,TE,X -> Y,0.3263892550688212
347,0,86,LZP,Independence,15.0
348,0,87,DPE,X -> Y,0.13123231021348725
349,0,87,GC,Independence,0.02711966651402075
350,0,87,TE,X -> Y,0.29751042204069705
351,0,87,LZP,Independence,21.0
352,0,88,DPE,X -> Y,0.10858026874568853
353,0,88,GC,Independence,5.139206104535041e-06
354,0,88,TE,X -> Y,0.29937524286556494
355,0,88,LZP,Independence,22.0
356,0,89,DPE,X -> Y,0.10304604697112854
357,0,89,GC,Independence,0.00024024918424686413
358,0,89,TE,X -> Y,0.307671583107281
359,0,89,LZP,Independence,22.0
360,0,90,DPE,X -> Y,0.12532668519263973
361,0,90,GC,Independence,3.247443861560196e-06
362,0,90,TE,X -> Y,0.3175876173302783
363,0,90,LZP,Independence,24.0
364,0,91,DPE,X -> Y,0.10863713242758352
365,0,91,GC,Independence,0.00029397894849691867
366,0,91,TE,X -> Y,0.3141278534731354
367,0,91,LZP,Independence,25.0
368,0,92,DPE,X -> Y,0.11168747528323104
369,0,92,GC,Independence,0.0011743629077880663
370,0,92,TE,X -> Y,0.30823608433887734
371,0,92,LZP,X -> Y,32.0
372,0,93,DPE,X -> Y,0.1478219732383473
373,0,93,GC,X -> Y,0.12486533859229308
374,0,93,TE,X -> Y,0.30541828461209575
375,0,93,LZP,Independence,23.0
376,0,94,DPE,X -> Y,0.11602737259147972
377,0,94,GC,Independence,9.025154844115986e-05
378,0,94,TE,X -> Y,0.29611256845623324
379,0,94,LZP,Independence,24.0
380,0,95,DPE,X -> Y,0.13887859324200286
381,0,95,GC,Independence,0.0003160734117725507
382,0,95,TE,X -> Y,0.29247233333582956
383,0,95,LZP,Independence,25.0
384,0,96,DPE,X -> Y,0.11243978299274199
385,0,96,GC,Independence,0.0008207662443603843
386,0,96,TE,X -> Y,0.3027839183243479
387,0,96,LZP,Independence,25.0
388,0,97,DPE,X -> Y,0.11628732277069664
389,0,97,GC,Independence,2.1757338740020888e-09
390,0,97,TE,X -> Y,0.3077933888851394
391,0,97,LZP,Independence,22.0
392,0,98,DPE,X -> Y,0.14730849255042622
393,0,98,GC,Independence,1.2885690068392888e-05
394,0,98,TE,X -> Y,0.30567388172837046
395,0,98,LZP,Independence,25.0
396,0,99,DPE,X -> Y,0.11036723336978216
397,0,99,GC,Independence,0.0012396748112302421
398,0,99,TE,X -> Y,0.2912190099166968
399,0,99,LZP,Independence,26.0
400,0,100,DPE,X -> Y,0.13702230251916317
401,0,100,GC,Independence,6.024845814243258e-06
402,0,100,TE,X -> Y,0.3107249974762129
403,0,100,LZP,Independence,24.0
404,0,101,DPE,X -> Y,0.09815528741110939
405,0,101,GC,Independence,2.942373866626042e-10
406,0,101,TE,X -> Y,0.3118279515856641
407,0,101,LZP,Independence,21.0
408,0,102,DPE,X -> Y,0.10926149235909177
409,0,102,GC,Independence,0.0005595223266444006
410,0,102,TE,X -> Y,0.28180805498143335
411,0,102,LZP,Independence,24.0
412,0,103,DPE,X -> Y,0.10728013288576668
413,0,103,GC,Independence,4.297049899718393e-05
414,0,103,TE,X -> Y,0.3139152218244899
415,0,103,LZP,Independence,21.0
416,0,104,DPE,X -> Y,0.11501387192163234
417,0,104,GC,Independence,0.0006572939911206919
418,0,104,TE,X -> Y,0.31734183925267473
419,0,104,LZP,X -> Y,27.0
420,0,105,DPE,X -> Y,0.12919083649040067
421,0,105,GC,Independence,0.0007511370504247381
422,0,105,TE,X -> Y,0.3059907554512365
423,0,105,LZP,Independence,25.0
424,0,106,DPE,X -> Y,0.12041519628326791
425,0,106,GC,Independence,5.808804949433845e-09
426,0,106,TE,X -> Y,0.3011912909664086
427,0,106,LZP,X -> Y,29.0
428,0,107,DPE,X -> Y,0.1255257170628376
429,0,107,GC,Independence,0.0036527004529326593
430,0,107,TE,X -> Y,0.30509420623286226
431,0,107,LZP,Independence,24.0
432,0,108,DPE,X -> Y,0.1032376973994758
433,0,108,GC,Independence,2.9133197993190007e-06
434,0,108,TE,X -> Y,0.30278240224630604
435,0,108,LZP,X -> Y,30.0
436,0,109,DPE,X -> Y,0.13526630101476822
437,0,109,GC,Independence,0.00011805702922399262
438,0,109,TE,X -> Y,0.26865276139609073
439,0,109,LZP,Independence,30.0
440,0,110,DPE,X -> Y,0.10040804048773674
441,0,110,GC,Independence,0.0005513283742361672
442,0,110,TE,X -> Y,0.29873004243383
443,0,110,LZP,Independence,22.0
444,0,111,DPE,X -> Y,0.11018650680691289
445,0,111,GC,Independence,0.022444707723358666
446,0,111,TE,X -> Y,0.3352184422544967
447,0,111,LZP,Independence,19.0
448,0,112,DPE,X -> Y,0.11386672537878101
449,0,112,GC,Independence,0.0015828684369594591
450,0,112,TE,X -> Y,0.30747474718772755
451,0,112,LZP,Independence,24.0
452,0,113,DPE,X -> Y,0.1329832648054104
453,0,113,GC,Independence,6.204447858022012e-05
454,0,113,TE,X -> Y,0.32554841886497243
455,0,113,LZP,X -> Y,28.0
456,0,114,DPE,X -> Y,0.1104427616973816
457,0,114,GC,Independence,1.8042899432237396e-05
458,0,114,TE,X -> Y,0.29848220927790886
459,0,114,LZP,Independence,28.0
460,0,115,DPE,X -> Y,0.08613687480549112
461,0,115,GC,Independence,8.746448659813294e-05
462,0,115,TE,X -> Y,0.32681774143787273
463,0,115,LZP,Independence,20.0
